ds,y
2019-01-01,58.993428306022466
2019-01-02,60.56623957033092
2019-01-03,61.90171155534331
2019-01-04,64.14995463520562
2019-01-05,53.944325379222974
2019-01-06,45.29178562407177
2019-01-07,52.74597804886656
2019-01-08,61.290176608119424
2019-01-09,61.647092072730516
2019-01-10,63.42228046855529
2019-01-11,61.89503006072055
2019-01-12,55.18588296271295
2019-01-13,47.93503335892878
2019-01-14,47.43798330494882
2019-01-15,57.96801228168868
2019-01-16,63.10916760156959
2019-01-17,61.943976963870384
2019-01-18,65.06723643627977
2019-01-19,55.90219325605612
2019-01-20,46.211052801751975
2019-01-21,55.76367984849619
2019-01-22,62.51706061188305
2019-01-23,65.90213575956076
2019-01-24,62.63570077787304
2019-01-25,64.84741061607875
2019-01-26,59.41905768456926
2019-01-27,48.193846870928716
2019-01-28,55.02482637370029
2019-01-29,63.188935205715175
2019-01-30,66.58552546614109
2019-01-31,65.6635405297407
2019-02-01,71.00210671302492
2019-02-02,60.5109107276094
2019-02-03,49.70013007095473
2019-02-04,57.21697634033724
2019-02-05,63.22543907731871
2019-02-06,68.84173727132762
2019-02-07,64.18062611311483
2019-02-08,65.85184504633281
2019-02-09,62.11969395724097
2019-02-10,54.45770290826577
2019-02-11,57.056751172841786
2019-02-12,66.5546337782907
2019-02-13,68.91705502595899
2019-02-14,66.21440255381589
2019-02-15,68.11602324128263
2019-02-16,61.82799639794327
2019-02-17,56.09392535446201
2019-02-18,58.37557901948671
2019-02-19,64.20940978971905
2019-02-20,71.09204462141568
2019-02-21,69.300780709712
2019-02-22,69.07608825844287
2019-02-23,64.8214138582064
2019-02-24,56.86488642815816
2019-02-25,60.3483882707936
2019-02-26,66.8286873390939
2019-02-27,70.57110614112501
2019-02-28,71.45303118821353
2019-03-01,73.07437705435174
2019-03-02,63.3067612279441
2019-03-03,55.07221791527705
2019-03-04,56.88732062475315
2019-03-05,66.70230756240177
2019-03-06,73.37554653826321
2019-03-07,74.03725153117695
2019-03-08,71.4867823259429
2019-03-09,66.75289327733265
2019-03-10,56.62068902403782
2019-03-11,58.23676475622641
2019-03-12,70.21763551199426
2019-03-13,75.1997864822167
2019-03-14,71.59942594630635
2019-03-15,75.0794856188547
2019-03-16,59.79883125541784
2019-03-17,57.8068312256233
2019-03-18,59.939847878307454
2019-03-19,69.10875223072424
2019-03-20,72.4923715466333
2019-03-21,67.85433963892044
2019-03-22,71.64257347215322
2019-03-23,65.85764963710535
2019-03-24,59.19737389567648
2019-03-25,58.781309777025285
2019-03-26,68.11550123447851
2019-03-27,71.3047784110925
2019-03-28,73.63354893991875
2019-03-29,72.68662291651893
2019-03-30,64.00516294287776
2019-03-31,57.16356180711083
2019-04-01,59.88176323660147
2019-04-02,71.51399524666223
2019-04-03,70.7230117062159
2019-04-04,70.94101156051666
2019-04-05,71.01342594395211
2019-04-06,61.88127747981108
2019-04-07,56.44817342973033
2019-04-08,59.90409327692265
2019-04-09,69.25696944358498
2019-04-10,71.30384477388274
2019-04-11,68.38756775241129
2019-04-12,70.55461265841193
2019-04-13,63.69764951932294
2019-04-14,53.80288903871504
2019-04-15,58.58789782187402
2019-04-16,69.56054966671579
2019-04-17,75.02856501633316
2019-04-18,71.02836429365532
2019-04-19,71.34989187423064
2019-04-20,63.6513324798113
2019-04-21,50.96558092222994
2019-04-22,58.23193768538793
2019-04-23,68.22650964673115
2019-04-24,75.51567864574076
2019-04-25,69.60718882468792
2019-04-26,70.73059569625254
2019-04-27,63.003831392420125
2019-04-28,51.71943729232902
2019-04-29,59.805244895990334
2019-04-30,68.82584299362452
2019-05-01,71.36881547722477
2019-05-02,67.35266349437242
2019-05-03,72.09493413211203
2019-05-04,59.41406574817184
2019-05-05,54.35804566338047
2019-05-06,61.0114355392194
2019-05-07,64.43558287327748
2019-05-08,67.7329597636694
2019-05-09,68.43404598577648
2019-05-10,67.33058101934512
2019-05-11,58.14989502212499
2019-05-12,52.340568216195635
2019-05-13,53.51107826278268
2019-05-14,66.35545035865368
2019-05-15,66.00516726892393
2019-05-16,70.30032898142473
2019-05-17,65.72440869160089
2019-05-18,59.548561114904075
2019-05-19,52.76043508772111
2019-05-20,52.09283178026471
2019-05-21,64.77139991898305
2019-05-22,69.35628227535169
2019-05-23,62.8736708844404
2019-05-24,66.53898890517935
2019-05-25,59.58231972732184
2019-05-26,51.55841846199652
2019-05-27,50.93397363974262
2019-05-28,60.52126694815361
2019-05-29,66.624410645284
2019-05-30,65.51441533807775
2019-05-31,65.49624267488961
2019-06-01,58.57516460542358
2019-06-02,47.44906842064452
2019-06-03,52.68181312391322
2019-06-04,62.55329719099536
2019-06-05,62.95279534867822
2019-06-06,67.44942266788667
2019-06-07,64.73726688444786
2019-06-08,54.29138201850963
2019-06-09,48.9117837854912
2019-06-10,49.05580073117986
2019-06-11,62.32794169439609
2019-06-12,65.4845341149519
2019-06-13,60.86204116948935
2019-06-14,64.50203580130162
2019-06-15,56.28584661328557
2019-06-16,48.03016860626475
2019-06-17,53.58766013339852
2019-06-18,59.0539066813833
2019-06-19,60.453242744409835
2019-06-20,59.52067138407396
2019-06-21,59.74333949743151
2019-06-22,54.109598718209654
2019-06-23,45.87616809569894
2019-06-24,49.160026465803064
2019-06-25,60.01682989984142
2019-06-26,60.81016254299353
2019-06-27,63.03632701405812
2019-06-28,59.68176987067746
2019-06-29,58.54727677380181
2019-06-30,45.29579388418507
2019-07-01,45.75082723395461
2019-07-02,55.087519681937664
2019-07-03,60.624727553189
2019-07-04,58.567176231320815
2019-07-05,60.53358000987627
2019-07-06,52.95799242382111
2019-07-07,42.81389107031221
2019-07-08,44.697580203582305
2019-07-09,53.136992484606616
2019-07-10,57.71591005379035
2019-07-11,59.68824613705633
2019-07-12,58.50771369244348
2019-07-13,48.50699443196233
2019-07-14,42.306276541261774
2019-07-15,46.175978550806
2019-07-16,53.42735386266952
2019-07-17,57.959368708461106
2019-07-18,57.149828030177396
2019-07-19,54.866913494445996
2019-07-20,50.803118224873415
2019-07-21,42.186672014978065
2019-07-22,46.69311966809028
2019-07-23,56.44119482884711
2019-07-24,54.05230884550983
2019-07-25,54.33105009743539
2019-07-26,57.374122915174695
2019-07-27,50.32456531139054
2019-07-28,41.32323736210418
2019-07-29,51.47944031846397
2019-07-30,54.74157943697872
2019-07-31,58.364554799581335
2019-08-01,57.420362810051046
2019-08-02,56.97268619444322
2019-08-03,48.01280149870893
2019-08-04,41.17821927344627
2019-08-05,41.61654886001974
2019-08-06,52.535750868623786
2019-08-07,54.55393208719198
2019-08-08,55.12926109973436
2019-08-09,59.77455762863975
2019-08-10,44.406588498742714
2019-08-11,40.553274387557245
2019-08-12,39.4801804698092
2019-08-13,51.63211570445636
2019-08-14,57.29256198477628
2019-08-15,54.707709616955405
2019-08-16,52.62724074877869
2019-08-17,46.37206516952137
2019-08-18,40.22577082589781
2019-08-19,40.95516442823642
2019-08-20,52.74383555476193
2019-08-21,54.965578876755664
2019-08-22,53.06073341345215
2019-08-23,58.88058039333105
2019-08-24,48.9058097288235
2019-08-25,34.67707874524071
2019-08-26,42.675229171644794
2019-08-27,50.89953973634129
2019-08-28,56.517397150418645
2019-08-29,52.74301079850682
2019-08-30,54.35347456992803
2019-08-31,48.66444500606553
2019-09-01,40.50171528493042
2019-09-02,39.97100181344209
2019-09-03,51.649900458371775
2019-09-04,53.985021526158434
2019-09-05,53.17043423728414
2019-09-06,58.289614587059326
2019-09-07,48.66696231105562
2019-09-08,36.47777885554949
2019-09-09,44.46350952057563
2019-09-10,56.846283213867075
2019-09-11,57.309807256534626
2019-09-12,51.775225901762354
2019-09-13,54.15402352074186
2019-09-14,50.781515096853575
2019-09-15,38.001798049715674
2019-09-16,43.959891005846416
2019-09-17,54.62255380197885
2019-09-18,53.8891431207218
2019-09-19,55.2198110698998
2019-09-20,49.19156980007175
